------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                          | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                  
------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  useNotifications.ts         |    42.4 |    42.85 |   43.75 |   43.58 | 11,49-50,55-56,79,100-125,131-159,165-192,198-227,233-237,257,262-263,271-272,276,284-285,290-291,296                                                              
  useProtectedRoute.ts        |      70 |    83.07 |   38.46 |      75 | 88,97-103,109,134-140,158-159,163,169-172                                                                                                                          
 hooks/queries                |   93.54 |    84.21 |    91.3 |   98.21 |                                                                                                                                                                    
  index.ts                    |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  useAnalytics.ts             |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  useDashboard.ts             |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  useExercises.ts             |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  useNotifications.ts         |   88.23 |    72.72 |     100 |     100 | 22,38-39                                                                                                                                                           
  usePremiumFeatures.ts       |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  useRecipes.ts               |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  useScanEligibility.ts       |    91.3 |      100 |   81.81 |      95 | 45                                                                                                                                                                 
 screens                      |   53.17 |    45.28 |   56.19 |   52.81 |                                                                                                                                                                    
  AnalyticsScreen.tsx         |   74.19 |    73.21 |   72.72 |   73.14 | 61-63,72-74,92-100,104,107,115-116,139-141,146-157,181-182,219-223,311                                                                                             
  EmailVerificationScreen.tsx |   42.66 |    26.31 |   48.27 |   43.16 | 57-69,79-81,93-94,110-130,135-136,141-184,189-203,208-215,220,268-292                                                                                              
  ExercisesScreen.tsx         |   82.75 |    66.66 |     100 |   80.76 | 96-100                                                                                                                                                             
  HomeScreen.tsx              |    82.6 |       75 |   76.92 |   83.72 | 77-78,91,96-98,188                                                                                                                                                 
  LoginScreen.tsx             |   48.93 |    30.76 |   55.55 |   46.66 | 38-63,68-75,100-153                                                                                                                                                
  PremiumUpgradeScreen.tsx    |   48.23 |    43.33 |      50 |   48.14 | 64,80,87-90,95-142,147-191,198-208,290                                                                                                                             
  RecipesScreen.tsx           |   82.75 |    66.66 |     100 |   80.76 | 96-100                                                                                                                                                             
  ScanPreviewScreen.tsx       |   75.21 |    55.17 |      68 |   75.65 | 97-100,172-173,213-214,233-243,247-249,263,274-279,288,296-299                                                                                                     
  ScanResultScreen.tsx        |       0 |        0 |       0 |       0 | 16-429                                                                                                                                                             
  ScannerScreen.tsx           |   44.21 |    41.01 |   31.81 |   44.36 | 55-56,63-66,71-75,91-145,152-207,212-268,273,330,360                                                                                                               
  SignUpScreen.tsx            |   38.46 |    29.03 |      50 |      36 | 30-31,35-83,135-161                                                                                                                                                
  SuperScanResultScreen.tsx   |       0 |        0 |       0 |       0 | 23-227                                                                                                                                                             
  UsernameSetupScreen.tsx     |   65.17 |    52.12 |   92.85 |   65.13 | 32-33,37-41,47,61-62,72,90-92,96-101,106-107,110-111,125-155,163-177,196,211,215,292                                                                               
 services                     |   66.32 |    53.26 |   79.72 |   66.36 |                                                                                                                                                                    
  api.ts                      |   52.42 |    46.12 |      75 |   52.07 | 34-49,76,160,256-261,291-345,451-466,473,503,515-611,616,631,638,642,652-693,709,713-714,736,760,769,813-814,835-855,862,887-895,914-926,956-973,981-995,1031-1032 
  deviceFingerprint.ts        |   82.25 |       50 |     100 |   85.96 | 28-32,81,93,100                                                                                                                                                    
  n8nWebhook.ts               |   90.32 |    88.46 |      70 |   90.74 | 47-49,72,167                                                                                                                                                       
  navigation.ts               |   96.42 |    85.71 |     100 |   96.29 | 31                                                                                                                                                                 
  payment.ts                  |   83.69 |    72.41 |   81.81 |   83.51 | 47-48,58-63,71,85-86,150,155,186-187,198                                                                                                                           
  supabase.ts                 |       0 |        0 |     100 |       0 | 5-12                                                                                                                                                               
------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------
